dataset,column,dtype,missing_count,missing_percent,unique_values,sample_values
unsw_test,id,int64,0,0.0,82332,"['1', '2', '3', '4', '5']"
unsw_test,dur,float64,0,0.0,39888,"['1.1e-05', '8e-06', '5e-06', '6e-06', '1e-05']"
unsw_test,proto,object,0,0.0,131,"['udp', 'arp', 'tcp', 'igmp', 'ospf']"
unsw_test,service,object,0,0.0,13,"['-', 'http', 'ftp', 'ftp-data', 'smtp']"
unsw_test,state,object,0,0.0,7,"['INT', 'FIN', 'REQ', 'ACC', 'CON']"
unsw_test,spkts,int64,0,0.0,420,"['2', '1', '10', '14', '22']"
unsw_test,dpkts,int64,0,0.0,436,"['0', '6', '8', '10', '12']"
unsw_test,sbytes,int64,0,0.0,4489,"['496', '1762', '1068', '900', '2126']"
unsw_test,dbytes,int64,0,0.0,4034,"['0', '268', '354', '1172', '1266']"
unsw_test,rate,float64,0,0.0,40616,"['90909.0902', '125000.0003', '200000.0051', '166666.6608', '100000.0025']"
unsw_test,sttl,int64,0,0.0,11,"['254', '0', '62', '255', '31']"
unsw_test,dttl,int64,0,0.0,8,"['0', '252', '60', '29', '31']"
unsw_test,sload,float64,0,0.0,42873,"['180363632.0', '881000000.0', '854400000.0', '600000000.0', '850400000.0']"
unsw_test,dload,float64,0,0.0,40614,"['0.0', '1249.506714', '1288.789062', '894.087097', '1692.7854']"
unsw_test,sloss,int64,0,0.0,253,"['0', '2', '4', '21', '19']"
unsw_test,dloss,int64,0,0.0,311,"['0', '1', '2', '3', '645']"
unsw_test,sinpkt,float64,0,0.0,39970,"['0.011', '0.008', '0.005', '0.006', '0.01']"
unsw_test,dinpkt,float64,0,0.0,37617,"['0.0', '270.886813', '261.252', '381.293437', '195.494719']"
unsw_test,sjit,float64,0,0.0,39944,"['0.0', '10042.8699', '13125.11139', '18158.22943', '8764.724091']"
unsw_test,djit,float64,0,0.0,38381,"['0.0', '468.508156', '399.405156', '788.701375', '346.639313']"
unsw_test,swin,int64,0,0.0,11,"['0', '255', '156', '202', '99']"
unsw_test,stcpb,int64,0,0.0,39219,"['0', '1640845588', '2214319888', '3374744735', '783227300']"
unsw_test,dtcpb,int64,0,0.0,39108,"['0', '177111456', '3374287000', '1063429159', '772078300']"
unsw_test,dwin,int64,0,0.0,14,"['0', '255', '81', '160', '77']"
unsw_test,tcprtt,float64,0,0.0,26130,"['0.0', '0.148966', '0.185096', '0.144772', '0.221146']"
unsw_test,synack,float64,0,0.0,24934,"['0.0', '0.079731', '0.095516', '0.077744', '0.09657']"
unsw_test,ackdat,float64,0,0.0,24020,"['0.0', '0.069235', '0.08958', '0.067028', '0.124576']"
unsw_test,smean,int64,0,0.0,1282,"['248', '881', '534', '450', '1063']"
unsw_test,dmean,int64,0,0.0,1222,"['0', '45', '44', '147', '127']"
unsw_test,trans_depth,int64,0,0.0,8,"['0', '1', '131', '2', '9']"
unsw_test,response_body_len,int64,0,0.0,1190,"['0', '184', '187', '165', '261']"
unsw_test,ct_srv_src,int64,0,0.0,57,"['2', '3', '1', '4', '5']"
unsw_test,ct_state_ttl,int64,0,0.0,7,"['2', '1', '6', '4', '0']"
unsw_test,ct_dst_ltm,int64,0,0.0,50,"['1', '2', '18', '4', '9']"
unsw_test,ct_src_dport_ltm,int64,0,0.0,50,"['1', '2', '3', '4', '10']"
unsw_test,ct_dst_sport_ltm,int64,0,0.0,33,"['1', '2', '3', '4', '10']"
unsw_test,ct_dst_src_ltm,int64,0,0.0,57,"['2', '3', '1', '14', '17']"
unsw_test,is_ftp_login,int64,0,0.0,3,"['0', '1', '2']"
unsw_test,ct_ftp_cmd,int64,0,0.0,3,"['0', '1', '2']"
unsw_test,ct_flw_http_mthd,int64,0,0.0,8,"['0', '1', '9', '4', '2']"
unsw_test,ct_src_ltm,int64,0,0.0,50,"['1', '2', '3', '10', '4']"
unsw_test,ct_srv_dst,int64,0,0.0,57,"['2', '3', '1', '15', '17']"
unsw_test,is_sm_ips_ports,int64,0,0.0,2,"['0', '1']"
unsw_test,attack_cat,object,0,0.0,10,"['Normal', 'Reconnaissance', 'Backdoor', 'DoS', 'Exploits']"
unsw_test,label,int64,0,0.0,2,"['0', '1']"
ton_iot,src_ip,object,0,0.0,51,"['192.168.1.37', '192.168.1.193', '192.168.1.33', '192.168.1.30', '192.168.1.31']"
ton_iot,src_port,int64,0,0.0,26628,"['4444', '49180', '49181', '49182', '49185']"
ton_iot,dst_ip,object,0,0.0,753,"['192.168.1.193', '192.168.1.37', '192.168.1.33', '103.38.120.36', '121.0.0.42']"
ton_iot,dst_port,int64,0,0.0,2039,"['49178', '8080', '445', '135', '4444']"
ton_iot,proto,object,0,0.0,3,"['tcp', 'udp', 'icmp']"
ton_iot,service,object,0,0.0,9,"['-', 'smb;gssapi', 'dce_rpc', 'smb', 'dns']"
ton_iot,duration,float64,0,0.0,68570,"['290.371539', '0.000102', '0.000148', '0.000113', '0.00013']"
ton_iot,src_bytes,int64,0,0.0,2199,"['101568', '0', '8359', '67847', '72']"
ton_iot,dst_bytes,int64,0,0.0,2338,"['2592', '0', '415330', '473', '60']"
ton_iot,conn_state,object,0,0.0,13,"['OTH', 'REJ', 'S1', 'RSTR', 'SF']"
ton_iot,missed_bytes,int64,0,0.0,694,"['0', '83380', '15928', '84516', '80247']"
ton_iot,src_pkts,int64,0,0.0,274,"['108', '1', '45', '48', '6']"
ton_iot,src_ip_bytes,int64,0,0.0,3648,"['108064', '52', '48', '10171', '54423']"
ton_iot,dst_pkts,int64,0,0.0,203,"['31', '1', '252', '22', '4']"
ton_iot,dst_ip_bytes,int64,0,0.0,3304,"['3832', '40', '342042', '1613', '276']"
ton_iot,dns_query,object,0,0.0,726,"['-', 'mqtt-dashboard-lb-1160139393.eu-central-1.elb.amazonaws.com', 'https://192.168.1.184', 'detectportal.firefox.com', 'https://192.168.1.184.hub']"
ton_iot,dns_qclass,int64,0,0.0,3,"['0', '1', '32769']"
ton_iot,dns_qtype,int64,0,0.0,12,"['0', '1', '28', '6', '12']"
ton_iot,dns_rcode,int64,0,0.0,4,"['0', '3', '2', '5']"
ton_iot,dns_AA,object,0,0.0,3,"['-', 'F', 'T']"
ton_iot,dns_RD,object,0,0.0,3,"['-', 'T', 'F']"
ton_iot,dns_RA,object,0,0.0,3,"['-', 'T', 'F']"
ton_iot,dns_rejected,object,0,0.0,3,"['-', 'F', 'T']"
ton_iot,ssl_version,object,0,0.0,4,"['-', 'TLSv10', 'TLSv12', 'TLSv13']"
ton_iot,ssl_cipher,object,0,0.0,6,"['-', 'TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA', 'TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256', 'TLS_AES_128_GCM_SHA256', 'TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256']"
ton_iot,ssl_resumed,object,0,0.0,3,"['-', 'F', 'T']"
ton_iot,ssl_established,object,0,0.0,3,"['-', 'T', 'F']"
ton_iot,ssl_subject,object,0,0.0,6,"['-', 'CN=Mr Shepherd;OU=Security Shepherd Project;O=OWASP;L=Dublin;ST=Ireland;C=IE', 'CN=settings-win.data.microsoft.com;OU=WSE;O=Microsoft;L=Redmond;ST=WA;C=US', 'CN=*.wns.windows.com', 'CN=sls.update.microsoft.com;OU=DSP;O=Microsoft;L=Redmond;ST=WA;C=US']"
ton_iot,ssl_issuer,object,0,0.0,5,"['-', 'CN=Mr Shepherd;OU=Security Shepherd Project;O=OWASP;L=Dublin;ST=Ireland;C=IE', 'CN=Microsoft Secure Server CA 2011;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US', 'CN=Microsoft IT TLS CA 5;OU=Microsoft IT;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US', 'CN=Microsoft Update Secure Server CA 2.1;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US']"
ton_iot,http_trans_depth,object,0,0.0,11,"['-', '1', '2', '10', '3']"
ton_iot,http_method,object,0,0.0,4,"['-', 'GET', 'POST', 'HEAD']"
ton_iot,http_uri,object,0,0.0,86,"['-', '/dvwa/login.php-r', '/', ""/?id=3');SELECT PG_SLEEP(5)--"", ""/?id=3') UNION ALL SELECT NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL-- uzzZ""]"
ton_iot,http_version,object,0,0.0,2,"['-', '1.1']"
ton_iot,http_request_body_len,int64,0,0.0,6,"['0', '1242', '2338', '300', '1586']"
ton_iot,http_response_body_len,int64,0,0.0,75,"['0', '1057', '664', '882', '10918']"
ton_iot,http_status_code,int64,0,0.0,8,"['0', '404', '200', '206', '302']"
ton_iot,http_user_agent,object,0,0.0,35,"['-', 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:49.0) Gecko/20100101 Firefox/49.0', 'Mozilla/5.0 (iPhone; U; CPU iOS 2_0 like Mac OS X; en-us)', 'Comos/0.9_(robot@xyleme.com)', 'Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:5.0) Whistler/20110021 myibrow/5.0.0.0']"
ton_iot,http_orig_mime_types,object,0,0.0,3,"['-', 'application/xml', 'application/soap+xml']"
ton_iot,http_resp_mime_types,object,0,0.0,10,"['-', 'text/html', 'application/ocsp-response', 'application/xml', 'text/json']"
ton_iot,weird_name,object,0,0.0,11,"['-', 'possible_split_routing', 'bad_TCP_checksum', 'bad_UDP_checksum', 'active_connection_reuse']"
ton_iot,weird_addl,object,0,0.0,3,"['-', '46', '48']"
ton_iot,weird_notice,object,0,0.0,2,"['-', 'F']"
ton_iot,label,int64,0,0.0,2,"['1', '0']"
ton_iot,type,object,0,0.0,10,"['backdoor', 'ddos', 'dos', 'injection', 'mitm']"
