dataset,split,attack_type,label,score,prediction,correct
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,xss,1,0.9964767485040761,1,True
ToN-IoT,test,ransomware,1,0.9983417409587134,1,True
ToN-IoT,test,normal,0,0.0017528076201912609,0,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,dos,1,0.9990597534609283,1,True
ToN-IoT,test,ransomware,1,0.9990095246539568,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,ransomware,1,0.9990095246539568,1,True
ToN-IoT,test,dos,1,0.9992523479630372,1,True
ToN-IoT,test,normal,0,0.002693471749528443,0,True
ToN-IoT,test,password,1,0.999954017271081,1,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,normal,0,0.0001883626228552068,0,True
ToN-IoT,test,normal,0,0.07448455726229991,0,True
ToN-IoT,test,ddos,1,0.9997470503643695,1,True
ToN-IoT,test,injection,1,0.9985821546485205,1,True
ToN-IoT,test,ransomware,1,0.9983417409587134,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,password,1,0.9976708847244904,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,injection,1,0.9992684886391336,1,True
ToN-IoT,test,ddos,1,0.999730829149466,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,password,1,0.9992663919469279,1,True
ToN-IoT,test,xss,1,0.9995696278849483,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,ddos,1,0.998483085168171,1,True
ToN-IoT,test,dos,1,0.9999535925365316,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,password,1,0.9995633206377907,1,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,ransomware,1,0.9983417409587134,1,True
ToN-IoT,test,ddos,1,0.999730829149466,1,True
ToN-IoT,test,backdoor,1,0.999953780739972,1,True
ToN-IoT,test,password,1,0.9999533850223364,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,normal,0,0.021199320910339062,0,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,password,1,0.9997667232713386,1,True
ToN-IoT,test,password,1,0.9992663919469279,1,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,normal,0,0.00038308084660915116,0,True
ToN-IoT,test,normal,0,0.0010902660510326602,0,True
ToN-IoT,test,scanning,1,0.9999714873086696,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,injection,1,0.9990597257764279,1,True
ToN-IoT,test,ddos,1,0.9996930420471165,1,True
ToN-IoT,test,ddos,1,0.11006655897549515,0,False
ToN-IoT,test,ddos,1,0.9839584928016695,1,True
ToN-IoT,test,normal,0,0.0003745335924519176,0,True
ToN-IoT,test,ransomware,1,0.9990073288779338,1,True
ToN-IoT,test,password,1,0.9994219369198974,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,ransomware,1,0.9988585533846555,1,True
ToN-IoT,test,ddos,1,0.9995870573021797,1,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,xss,1,0.9994257865812962,1,True
ToN-IoT,test,injection,1,0.9992396235291553,1,True
ToN-IoT,test,ddos,1,0.999529725650073,1,True
ToN-IoT,test,injection,1,0.9995982097881927,1,True
ToN-IoT,test,password,1,0.999953780739972,1,True
ToN-IoT,test,ddos,1,0.9856949013380175,1,True
ToN-IoT,test,password,1,0.9997093384257048,1,True
ToN-IoT,test,injection,1,0.9984460043023408,1,True
ToN-IoT,test,injection,1,0.998572791536756,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,normal,0,0.0003745335924519176,0,True
ToN-IoT,test,password,1,0.9991314721578608,1,True
ToN-IoT,test,password,1,0.9989887998334794,1,True
ToN-IoT,test,password,1,0.998933660331907,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,normal,0,0.0005715407228518352,0,True
ToN-IoT,test,normal,0,0.0001883626228552068,0,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,normal,0,0.000950526212904795,0,True
ToN-IoT,test,ddos,1,0.990505291277471,1,True
ToN-IoT,test,ddos,1,0.9996739983903833,1,True
ToN-IoT,test,injection,1,0.9988258941700087,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,scanning,1,0.9990734984682644,1,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,password,1,0.9999547830507235,1,True
ToN-IoT,test,scanning,1,0.9999498578944169,1,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,password,1,0.9991719862502957,1,True
ToN-IoT,test,injection,1,0.9957917347806883,1,True
ToN-IoT,test,injection,1,0.989515201751506,1,True
ToN-IoT,test,injection,1,0.9990812648492405,1,True
ToN-IoT,test,ransomware,1,0.9983417409587134,1,True
ToN-IoT,test,ddos,1,0.9996739983903833,1,True
ToN-IoT,test,ddos,1,0.999730829149466,1,True
ToN-IoT,test,ddos,1,0.9997195646325937,1,True
ToN-IoT,test,ddos,1,0.999730829149466,1,True
ToN-IoT,test,normal,0,0.0001883626228552068,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,ddos,1,0.9997730875721125,1,True
ToN-IoT,test,password,1,0.9991314721578608,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,ddos,1,0.999720042128105,1,True
ToN-IoT,test,ddos,1,0.9937910267804524,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.9993746437787612,1,True
ToN-IoT,test,password,1,0.998933660331907,1,True
ToN-IoT,test,password,1,0.9991963359203156,1,True
ToN-IoT,test,ddos,1,0.9996739983903833,1,True
ToN-IoT,test,ddos,1,0.999674523760372,1,True
ToN-IoT,test,normal,0,0.0003745335924519176,0,True
ToN-IoT,test,injection,1,0.9975389533118014,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,normal,0,0.0007457278009746143,0,True
ToN-IoT,test,ddos,1,0.9997754422177532,1,True
ToN-IoT,test,password,1,0.9997809230044795,1,True
ToN-IoT,test,backdoor,1,0.999953780739972,1,True
ToN-IoT,test,normal,0,0.013490184083865743,0,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,normal,0,0.022169336547900268,0,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,injection,1,0.9981718329564107,1,True
ToN-IoT,test,injection,1,0.9984460043023408,1,True
ToN-IoT,test,ddos,1,0.9996739983903833,1,True
ToN-IoT,test,normal,0,0.0001883626228552068,0,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,injection,1,0.9894569281333413,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,ddos,1,0.999529725650073,1,True
ToN-IoT,test,password,1,0.998933660331907,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,normal,0,0.005388857736777623,0,True
ToN-IoT,test,injection,1,0.9996919618264256,1,True
ToN-IoT,test,dos,1,0.9999495050287858,1,True
ToN-IoT,test,normal,0,0.0003015895753238664,0,True
ToN-IoT,test,ransomware,1,0.9988585533846555,1,True
ToN-IoT,test,normal,0,0.0009599792319320854,0,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,ddos,1,0.9996739983903833,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,normal,0,0.0001883626228552068,0,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,password,1,0.9999496063833114,1,True
ToN-IoT,test,scanning,1,0.9999714873086696,1,True
ToN-IoT,test,ddos,1,0.9983147152204881,1,True
ToN-IoT,test,password,1,0.9995054099760239,1,True
ToN-IoT,test,scanning,1,0.9999498578944169,1,True
ToN-IoT,test,password,1,0.9991719862502957,1,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.99953002611844,1,True
ToN-IoT,test,normal,0,0.00023835324382875505,0,True
ToN-IoT,test,normal,0,0.0001883626228552068,0,True
ToN-IoT,test,injection,1,0.9992866559665475,1,True
ToN-IoT,test,password,1,0.9990095246539568,1,True
ToN-IoT,test,injection,1,0.9996694927886463,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,ddos,1,0.999730829149466,1,True
ToN-IoT,test,password,1,0.9992663919469279,1,True
ToN-IoT,test,xss,1,0.9991352439091704,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.9988100795879069,1,True
ToN-IoT,test,ddos,1,0.9980112772691172,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,normal,0,0.0008198464254096148,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,ddos,1,0.9993115296211483,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,xss,1,0.991373849337223,1,True
ToN-IoT,test,password,1,0.9991443387677396,1,True
ToN-IoT,test,password,1,0.9991180903759219,1,True
ToN-IoT,test,password,1,0.99937309624607,1,True
ToN-IoT,test,xss,1,0.9882140288493366,1,True
ToN-IoT,test,ddos,1,0.999730829149466,1,True
ToN-IoT,test,injection,1,0.9990755278728642,1,True
ToN-IoT,test,injection,1,0.978111453702211,1,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,dos,1,0.9999464955929543,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,injection,1,0.9982126131042087,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,injection,1,0.99967104831238,1,True
ToN-IoT,test,ddos,1,0.9997730875721125,1,True
ToN-IoT,test,ransomware,1,0.9988585533846555,1,True
ToN-IoT,test,normal,0,0.0010325352876956633,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,normal,0,0.003266181178632366,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,normal,0,0.0009205556396919605,0,True
ToN-IoT,test,normal,0,0.00025620953526245006,0,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,ddos,1,0.9991309703930319,1,True
ToN-IoT,test,injection,1,0.9996540714816435,1,True
ToN-IoT,test,dos,1,0.9999535925365316,1,True
ToN-IoT,test,dos,1,0.999953805371339,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,dos,1,0.9992523479630372,1,True
ToN-IoT,test,injection,1,0.999308076451076,1,True
ToN-IoT,test,normal,0,0.004288455285926047,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,password,1,0.9999547830507235,1,True
ToN-IoT,test,ddos,1,0.9506352020576249,1,True
ToN-IoT,test,ransomware,1,0.9983417409587134,1,True
ToN-IoT,test,injection,1,0.9993723170448379,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,dos,1,0.9999394756943212,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,dos,1,0.9999496063833114,1,True
ToN-IoT,test,ddos,1,0.9991309703930319,1,True
ToN-IoT,test,xss,1,0.9977304271804568,1,True
ToN-IoT,test,password,1,0.9991719862502957,1,True
ToN-IoT,test,dos,1,0.9999464955929543,1,True
ToN-IoT,test,ransomware,1,0.9990073288779338,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,dos,1,0.9999496063833114,1,True
ToN-IoT,test,scanning,1,0.9596118149199007,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,xss,1,0.9948036348114669,1,True
ToN-IoT,test,normal,0,0.022169336547900268,0,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,normal,0,0.0003285906791015745,0,True
ToN-IoT,test,ddos,1,0.9995870573021797,1,True
ToN-IoT,test,normal,0,0.0010062979949901072,0,True
ToN-IoT,test,normal,0,0.007671583389360543,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.9994351591339459,1,True
ToN-IoT,test,xss,1,0.9995351672570602,1,True
ToN-IoT,test,password,1,0.999953780739972,1,True
ToN-IoT,test,password,1,0.9991719862502957,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.9995574837116517,1,True
ToN-IoT,test,password,1,0.9988650232507529,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,ddos,1,0.9991309703930319,1,True
ToN-IoT,test,ddos,1,0.9997754422177532,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,injection,1,0.9983769968982842,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,normal,0,0.00021968115656992022,0,True
ToN-IoT,test,ransomware,1,0.9990095246539568,1,True
ToN-IoT,test,password,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.9990734984682644,1,True
ToN-IoT,test,password,1,0.9988579916126642,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,ransomware,1,0.9990073288779338,1,True
ToN-IoT,test,ransomware,1,0.9988585533846555,1,True
ToN-IoT,test,dos,1,0.999953780739972,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,password,1,0.9991754601235815,1,True
ToN-IoT,test,password,1,0.9995809450415457,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,xss,1,0.9910311406667113,1,True
ToN-IoT,test,injection,1,0.9988366802566913,1,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,normal,0,0.000581009914792205,0,True
ToN-IoT,test,ddos,1,0.9993420034372196,1,True
ToN-IoT,test,dos,1,0.9999496063833114,1,True
ToN-IoT,test,normal,0,0.0015250158639878162,0,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,backdoor,1,0.9999535925365316,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.9981102756405058,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,ransomware,1,0.9990073288779338,1,True
ToN-IoT,test,password,1,0.999953780739972,1,True
ToN-IoT,test,injection,1,0.9987465106442133,1,True
ToN-IoT,test,ddos,1,0.7246701351145828,1,True
ToN-IoT,test,normal,0,0.0006569628017672385,0,True
ToN-IoT,test,ransomware,1,0.9990073288779338,1,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,ransomware,1,0.9990073288779338,1,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,ransomware,1,0.9988585533846555,1,True
ToN-IoT,test,injection,1,0.9939177855781458,1,True
ToN-IoT,test,ddos,1,0.9997754422177532,1,True
ToN-IoT,test,scanning,1,0.9999535925365316,1,True
ToN-IoT,test,normal,0,0.0007285753890589248,0,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.9956210794057935,1,True
ToN-IoT,test,normal,0,0.0012751787293089304,0,True
ToN-IoT,test,ddos,1,0.9270101140180701,1,True
ToN-IoT,test,normal,0,0.0005715407228518352,0,True
ToN-IoT,test,ddos,1,0.9996739983903833,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,password,1,0.9991719862502957,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,xss,1,0.999140260019557,1,True
ToN-IoT,test,dos,1,0.9999535925365316,1,True
ToN-IoT,test,password,1,0.9999547830507235,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,password,1,0.9991963359203156,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,normal,0,0.0007285753890589248,0,True
ToN-IoT,test,normal,0,0.0004257498687913444,0,True
ToN-IoT,test,normal,0,0.022169336547900268,0,True
ToN-IoT,test,ransomware,1,0.9988585533846555,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,password,1,0.9968239642001407,1,True
ToN-IoT,test,injection,1,0.9993503522399366,1,True
ToN-IoT,test,dos,1,0.9999535925365316,1,True
ToN-IoT,test,dos,1,0.8296721277359035,1,True
ToN-IoT,test,normal,0,0.005005149752291324,0,True
ToN-IoT,test,ddos,1,0.9941882720319646,1,True
ToN-IoT,test,injection,1,0.9993240970818692,1,True
ToN-IoT,test,normal,0,0.00038308084660915116,0,True
ToN-IoT,test,normal,0,0.20513901848606053,0,True
ToN-IoT,test,ddos,1,0.9997250104778715,1,True
ToN-IoT,test,xss,1,0.9990314592716444,1,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.9993564452207103,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,mitm,1,0.6209573833641857,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.9996386058947757,1,True
ToN-IoT,test,ddos,1,0.9996739983903833,1,True
ToN-IoT,test,injection,1,0.999659353083365,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,ddos,1,0.9996739983903833,1,True
ToN-IoT,test,normal,0,0.0001883626228552068,0,True
ToN-IoT,test,scanning,1,0.9999535925365316,1,True
ToN-IoT,test,password,1,0.9950795622026049,1,True
ToN-IoT,test,injection,1,0.9986910632167862,1,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.9972755947259349,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,normal,0,0.022169336547900268,0,True
ToN-IoT,test,xss,1,0.9970196496472727,1,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,injection,1,0.998114809452169,1,True
ToN-IoT,test,ddos,1,0.9996501471416641,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,scanning,1,0.9999547830507235,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,ddos,1,0.999529725650073,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,dos,1,0.9999535925365316,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,ddos,1,0.9965633316188394,1,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,ransomware,1,0.9990073288779338,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,injection,1,0.9996627364671661,1,True
ToN-IoT,test,password,1,0.998933660331907,1,True
ToN-IoT,test,normal,0,0.0018004744442466675,0,True
ToN-IoT,test,normal,0,0.002192157602334747,0,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,password,1,0.9991719862502957,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,ransomware,1,0.9988585533846555,1,True
ToN-IoT,test,password,1,0.999953780739972,1,True
ToN-IoT,test,password,1,0.9994460831517001,1,True
ToN-IoT,test,normal,0,0.002880201065961006,0,True
ToN-IoT,test,normal,0,0.013490184083865743,0,True
ToN-IoT,test,scanning,1,0.9999714873086696,1,True
ToN-IoT,test,password,1,0.999953805371339,1,True
ToN-IoT,test,password,1,0.99817504861185,1,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,ddos,1,0.9995870573021797,1,True
ToN-IoT,test,ddos,1,0.9989458401623172,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,normal,0,0.0003611186100560546,0,True
ToN-IoT,test,password,1,0.9999547830507235,1,True
ToN-IoT,test,injection,1,0.9994365240184706,1,True
ToN-IoT,test,normal,0,0.0003611186100560546,0,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,normal,0,0.022169336547900268,0,True
ToN-IoT,test,password,1,0.9995633206377907,1,True
ToN-IoT,test,dos,1,0.9999496063833114,1,True
ToN-IoT,test,normal,0,0.0014450820552233885,0,True
ToN-IoT,test,dos,1,0.9999496063833114,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,dos,1,0.9723835832053498,1,True
ToN-IoT,test,normal,0,0.000650392339654052,0,True
ToN-IoT,test,injection,1,0.9990755278728642,1,True
ToN-IoT,test,scanning,1,0.9999531230236192,1,True
ToN-IoT,test,dos,1,0.9964744521917568,1,True
ToN-IoT,test,injection,1,0.9986927824617925,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,normal,0,0.0001653051108972759,0,True
ToN-IoT,test,normal,0,0.0001883626228552068,0,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,normal,0,0.000650392339654052,0,True
ToN-IoT,test,injection,1,0.9949092496740383,1,True
ToN-IoT,test,injection,1,0.99905931072818,1,True
ToN-IoT,test,normal,0,0.0003611186100560546,0,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,dos,1,0.9992523479630372,1,True
ToN-IoT,test,injection,1,0.9983059349787948,1,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,normal,0,0.0004850809480675031,0,True
ToN-IoT,test,dos,1,0.9986538987364127,1,True
ToN-IoT,test,normal,0,0.0018004744442466675,0,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,dos,1,0.9993528329506006,1,True
ToN-IoT,test,password,1,0.9991719862502957,1,True
ToN-IoT,test,password,1,0.9997761801692321,1,True
ToN-IoT,test,normal,0,0.0007749647694025049,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,xss,1,0.9735321679830229,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,password,1,0.9992663919469279,1,True
ToN-IoT,test,xss,1,0.9876861423872125,1,True
ToN-IoT,test,injection,1,0.9988481022083369,1,True
